순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
116,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,1,9.79116E+12,74810,816.7,"2,300"
117,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,2,9.79113E+12,77700,710,"2,296"
117,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,3,9.79117E+12,74810,980.2,"2,296"
119,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,3,9.79113E+12,77700,710,"2,291"
120,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,2021,1,9.79113E+12,,,"2,275"
121,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,50,9.78895E+12,77720,711.4,"2,269"
122,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,24,9.7912E+12,74910,911,"2,266"
123,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,51,9.78895E+12,77720,711.4,"2,261"
124,빨간내복야코 맞춤법 절대 안 틀리는 책,빨간내복야코 원작 ;이영아 그림,위즈덤하우스,2024,1,9.79117E+12,73710,711,"2,260"
125,놓지 마 맞춤법,"신태훈,나승훈 글·그림",김영사,2023,3,9.78893E+12,77700,711,"2,257"
126,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,58,9.78895E+12,77720,711.4,"2,246"
127,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,23,9.79119E+12,74910,911,"2,243"
128,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,4,9.78894E+12,74810,813.7,"2,233"
128,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,1,9.79119E+12,74810,813.7,"2,233"
130,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,57,9.78895E+12,77720,711.4,"2,230"
131,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,56,9.78895E+12,77720,711.4,"2,227"
132,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,1,9.7912E+12,74910,911,"2,224"
133,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,6,9.7912E+12,74810,813.7,"2,207"
134,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,3,9.79116E+12,74810,816.7,"2,202"
135,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,49,9.78895E+12,77720,711.4,"2,198"
136,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,2,9.7912E+12,74910,911,"2,186"
137,흔한남매 불꽃 튀는 우리말 5 - 초등 국어 고수 되기 프로젝트,"한은호 (지은이), 흔한남매 (원작), 유희석 (그림), 흔한컴퍼니 (감수)",다산어린이,2022,5,9.79113E+12,,,"2,181"
138,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,54,9.78895E+12,77720,711.4,"2,177"
139,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,2,9.79116E+12,74810,816.7,"2,174"
140,(흔한 남매) 세계사 탐험대,"원작: 흔한남매,그림: 팀키즈",김영사,2024,1,9.78893E+12,77900,909,"2,166"
141,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,26,9.79119E+12,74910,911,"2,157"
142,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,22,9.79119E+12,74910,911,"2,156"
143,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,21,9.79119E+12,74910,911,"2,154"
143,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,25,9.79119E+12,74910,911,"2,154"
145,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,5,9.79117E+12,77400,400,"2,151"
146,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,17,9.79117E+12,74910,911,"2,123"
