순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
147,마케팅 설계자 :자동 수익을 실현하는 28가지 마케팅 과학 ,러셀 브런슨 지음 ;이경식 옮김,윌북,2022,,9.79116E+12,3320,325.555,485
147,"인스타 브레인 =몰입을 빼앗긴 시대, 똑똑한 뇌 사용법 /Insta brain ",안데르스 한센 지음 ;김아영 옮김,동양북스,2020,,9.79116E+12,3180,511.1813,485
150,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9.79116E+12,77810,810,484
150,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,12,9.79117E+12,77810,810,484
152,듄 ,지은이: 프랭크 허버트 ;옮긴이: 김승욱,황금가지,2021,1,9.79116E+12,4840,843.5,482
153,어떻게 극단적 소수가 다수를 지배하는가 :우리의 민주주의가 한계에 도달한 이유 ,"스티븐 레비츠키,박세연 옮김",어크로스(어크로스출판그룹),2024,,9.79117E+12,3340,340.22,480
154,사랑의 기술 ,에리히 프롬 지음 ;황문수 옮김,문예출판사,2019,,9.78893E+12,3180,181.71,479
154,듀얼 브레인 =AI 시대의 실용적 생존 가이드 /Dual brain ,이선 몰릭 지음 ;신동숙 옮김,상상스퀘어,2025,,9.79119E+12,3190,331.5412,479
156,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2021,2,9.79117E+12,3810,813.7,476
156,뿐이 토핑 이유식 :최신 이유식 지침을 반영한 세상 쉽고 맛있는 레시피 253 ,정주희 지음,서사원,2024,,9.79117E+12,13590,598.2,476
156,이동 평균선 투자법 :차트 분석의 시작과 끝은 이동 평균선이다 ,고지로 강사 지음 ;김정환 옮김,이레미디어,2024,,9.79119E+12,3320,327.856,476
159,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,,9.78896E+12,3810,813.7,475
159,숲속 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,,9.78897E+12,74830,833.6,475
161,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,5,9.79116E+12,77490,472,474
162,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,11,9.79117E+12,77810,810,473
