순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
141,돈의 심리학 :당신은 왜 부자가 되지 못했는가 ,모건 하우절 지음 ;이지연 옮김,인플루엔셜,2021,,9.79119E+12,3320,327.04,"3,794"
142,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9.79119E+12,3810,813.7,"3,791"
143,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,,9.78894E+12,77810,813.7,"3,778"
144,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,13,9.79117E+12,77490,472,"3,763"
145,흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ,원작: 흔한남매 ;그림: 유난희,미래엔,2022,,9.79117E+12,77810,810,"3,761"
146,야옹이 수영 교실 ,신현경 글 ;노예지 그림,인플루엔셜,2023,,9.79117E+12,77810,813.7,"3,730"
147,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,4,9.79119E+12,74810,813.7,"3,729"
148,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,30,9.79119E+12,74910,911,"3,717"
149,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,1,9.79113E+12,74810,813.7,"3,702"
150,한강 ,지은이: 한강,문학동네,2023,,9.78895E+12,3810,810.81,"3,693"
151,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,3,9.79117E+12,77030,388,"3,675"
152,마녀와의 7일 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2024,,9.79117E+12,3830,833.6,"3,673"
153,서랍에 저녁을 넣어 두었다 :한강 시집 ,지은이: 한강,문학과지성사,2013,,9.78893E+12,3810,811.62,"3,661"
154,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,2,9.79117E+12,74810,980.2,"3,636"
155,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,1,9.79117E+12,77030,388,"3,635"
156,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9.78893E+12,3900,909,"3,628"
157,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,4,9.79117E+12,77030,388,"3,627"
158,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,10,9.79117E+12,77490,472,"3,611"
159,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,0,9.78893E+12,77400,400,"3,593"
160,(뇌과학과 심리학으로 치유하는) 마음의 기술 :뇌를 이해하면 내 마음이 보인다 ,"안-엘렌 클레르,구영옥 옮김",상상스퀘어,2024,,9.79119E+12,3180,186.5,"3,589"
161,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,12,9.79119E+12,77400,400,"3,563"
162,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,29,9.79119E+12,74910,911,"3,558"
163,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9.78897E+12,3830,833.6,"3,553"
164,메리골드 마음 사진관 =윤정은 장편소설 /Marigold mind photo studio ,글: 윤정은,책읽어주는남자,2024,,9.7912E+12,3810,813.7,"3,552"
165,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,13,9.79117E+12,77400,400,"3,548"
166,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2021,2,9.79117E+12,3810,813.7,"3,539"
167,아홉 살 마음 사전 ,박성우 글 ;김효은 그림,창비,2017,,9.78894E+12,73710,181,"3,527"
168,페인트 :이희영 장편소설 ,지은이: 이희영,창비,2019,,9.78894E+12,43810,813.7,"3,512"
169,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라 ,박용우 지음,루미너스,2024,,9.7912E+12,3510,517.52,"3,509"
170,"오십의 기술 - 나이 들수록 재미, 가족, 관계, 행복, 품격, 지식이 높아지는",이호선 (지은이),카시오페아,2023,,9.79117E+12,,,"3,507"
171,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,3,9.79117E+12,77400,400,"3,501"
172,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,2,9.79117E+12,77030,388,"3,489"
173,(열심히 살아봤지만 허무함에 지친 당신을 위한) 김미경의 딥마인드 ,김미경 지음,엠케이유니버스,2024,,9.7912E+12,3320,325.211,"3,488"
174,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,2021,1,9.79113E+12,,,"3,481"
175,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,11,9.79117E+12,77490,472,"3,477"
176,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,1,9.79116E+12,74830,833.6,"3,476"
177,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,6,9.79113E+12,74810,813.7,"3,466"
178,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,,9.78896E+12,3810,813.7,"3,456"
179,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,3,9.7912E+12,74910,911,"3,442"
180,가재가 노래하는 곳 :델리아 오언스 장편소설 ,지은이: 델리아 오언스 ;옮긴이: 김선형,살림출판사,2019,,9.78895E+12,3840,843.6,"3,440"
181,5번 레인 ,은소홀 글 ;노인경 그림,문학동네,2020,,9.78895E+12,73810,813.7,"3,425"
182,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,2,9.79113E+12,77700,710,"3,422"
183,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,19,9.79117E+12,77400,408,"3,421"
184,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,5,9.7912E+12,74910,911,"3,420"
185,침묵의 퍼레이드,"히가시노 게이고 (지은이), 김난주 (옮긴이)",재인,2025,,9.79119E+12,,,"3,411"
186,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,31,9.79119E+12,74910,911,"3,408"
187,두고 온 여름 :성해나 소설 ,지은이: 성해나,창비,2023,,9.78894E+12,3810,813.7,"3,407"
188,녹나무의 여신 ,저자: 히가시노 게이고 ;옮긴이: 양윤옥,소미미디어,2024,,9.79114E+12,3830,833.6,"3,403"
189,호랑이 빵집,글: 서지원 ;그림: 홍그림,지학사,2023,1,9.79116E+12,74810,813.7,"3,397"
190,(신기한 맛) 도깨비 식당,"김용세,센개 그림",꿈터,2022,1,9.79117E+12,74810,813.7,"3,390"
191,허송세월 :김훈 산문 ,지은이: 김훈,나남,2024,,9.78893E+12,4040,814.62,"3,389"
191,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,27,9.79119E+12,74910,911,"3,389"
193,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,1,9.79116E+12,74810,816.7,"3,388"
194,흰 :한강 소설 ,지은이: 한강,문학동네,2016,,9.78895E+12,3810,813.62,"3,387"
